,gene_id,gene_name
0,Xelaev18000001m.g,Xelaev18000001m.g
6,Xelaev18000002m.g,Xelaev18000002m.g
10,Xelaev18000003m.g,Xelaev18000003m.g
20,Xelaev18000004m.g,Xelaev18000004m.g
26,Xelaev18000005m.g,Xelaev18000005m.g
34,Xelaev18000006m.g,tm6sf2.1
39,Xelaev18000007m.g,Xelaev18000007m.g
41,Xelaev18000008m.g,bpi.S
71,Xelaev18000009m.g,Xetrov90025348m.S
72,Xelaev18000010m.g,Xelaev18000010m.g
79,Xelaev18000011m.g,Xelaev18000011m.g
81,Xelaev18000012m.g,LOC101731737.1.S
84,Xelaev18000013m.g,Xelaev18000013m.g
86,Xelaev18000014m.g,Xelaev18000014m.g
88,Xelaev18000015m.g,Xelaev18000015m.g
98,Xelaev18000016m.g,Xelaev18000016m.g
99,Xelaev18000017m.g,LOC101730510.1
100,Xelaev18000018m.g,Xelaev18000018m.g
101,Xelaev18000019m.g,arhgap28.S
131,Xelaev18000020m.g,Xelaev18000020m.g
133,Xelaev18000021m.g,tmem200c.S
136,Xelaev18000023m.g,Xelaev18000023m.g
137,Xelaev18000024m.g,Xelaev18000024m.g
140,Xelaev18000025m.g,Xelaev18000025m.g
142,Xelaev18000026m.g,Xelaev18000026m.g
148,Xelaev18000027m.g,bcap31.L
163,Xelaev18000028m.g,Xelaev18000028m.g
183,Xelaev18000029m.g,plxnb3.L
224,Xelaev18000030m.g,smc1a.L
272,Xelaev18000031m.g,wnt7c.L
281,Xelaev18000032m.g,hsd17b10.L
293,Xelaev18000033m.g,syp.L
302,Xelaev18000034m.g,gpkow.L
321,Xelaev18000035m.g,plp2.L
329,Xelaev18000036m.g,prickle3.L
339,Xelaev18000037m.g,Xelaev18000037m.g
343,Xelaev18000038m.g,klhl7.S
363,Xelaev18000039m.g,igf2bp3.S
393,Xelaev18000040m.g,Xelaev18000040m.g
395,Xelaev18000041m.g,Xelaev18000041m.g
399,Xelaev18000042m.g,tra2a.S
415,Xelaev18000044m.g,Xelaev18000044m.g
416,Xelaev18000045m.g,Xelaev18000045m.g
419,Xelaev18000046m.g,antxrl.L
430,Xelaev18000047m.g,Xelaev18000047m.g
432,Xelaev18000048m.g,Xelaev18000048m.g
434,Xelaev18000049m.g,Xelaev18000049m.g
435,Xelaev18000050m.g,loc100491805.L
438,Xelaev18000052m.g,pga4.L
456,Xelaev18000053m.g,tmem132a.L
479,Xelaev18000054m.g,prpf19.L
511,Xelaev18000056m.g,stx3.L
532,Xelaev18000057m.g,Xelaev18000057m.g
534,Xelaev18000058m.g,Xelaev18000058m.g
538,Xelaev18000059m.g,tmem82.S
539,Xelaev18000061m.g,hinfp.S
557,Xelaev18000062m.g,abcg4.S
586,Xelaev18000063m.g,pdzd3.S
606,Xelaev18000064m.g,cbl.S
639,Xelaev18000065m.g,mcam.S
675,Xelaev18000066m.g,Xelaev18000066m.g
677,Xelaev18000067m.g,Xelaev18000067m.g
679,Xelaev18000068m.g,Xelaev18000068m.g
680,Xelaev18000069m.g,Xelaev18000069m.g
682,Xelaev18000070m.g,Xelaev18000070m.g
683,Xelaev18000071m.g,Xelaev18000071m.g
699,Xelaev18000072m.g,Xelaev18000072m.g
701,Xelaev18000073m.g,Xelaev18000073m.g
702,Xelaev18000074m.g,LOC101730344.1.L
703,Xelaev18000075m.g,Xelaev18000075m.g
704,Xelaev18000076m.g,Xetrov90029155m.L
706,Xelaev18000077m.g,Xetrov90029153m.L
708,Xelaev18000078m.g,Xelaev18000078m.g
709,Xelaev18000079m.g,LOC100489228.1.L
